,max depth,n_estimators,training accuracy,training precision,training recall,training f1 score,test accuracy,test precision,test recall,test f1 score
51,20,31,1.0,1.0,1.0,1.0,0.8714285714285714,0.9507518796992481,0.8714285714285714,0.9043516483516483
52,20,52,1.0,1.0,1.0,1.0,0.8428571428571429,0.9597207303974221,0.8428571428571429,0.8921595655806183
53,20,73,1.0,1.0,1.0,1.0,0.9,0.9809523809523808,0.9,0.9371840606161164
54,20,94,1.0,1.0,1.0,1.0,0.9,0.9666666666666666,0.9,0.9302154195011338
55,20,115,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
56,20,136,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
57,20,157,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
58,20,178,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
59,20,200,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
60,25,10,0.9793103448275862,1.0,0.9776556776556777,0.9886331344131856,0.7857142857142857,0.984453781512605,0.7857142857142857,0.8606094772972199
61,25,31,1.0,1.0,1.0,1.0,0.8714285714285714,0.9507518796992481,0.8714285714285714,0.9043516483516483
62,25,52,1.0,1.0,1.0,1.0,0.8428571428571429,0.9597207303974221,0.8428571428571429,0.8921595655806183
63,25,73,1.0,1.0,1.0,1.0,0.9,0.9809523809523808,0.9,0.9371840606161164
64,25,94,1.0,1.0,1.0,1.0,0.9,0.9666666666666666,0.9,0.9302154195011338
65,25,115,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
66,25,136,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
67,25,157,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
68,25,178,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
69,25,200,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
70,30,10,0.9793103448275862,1.0,0.9776556776556777,0.9886331344131856,0.7857142857142857,0.984453781512605,0.7857142857142857,0.8606094772972199
71,30,31,1.0,1.0,1.0,1.0,0.8714285714285714,0.9507518796992481,0.8714285714285714,0.9043516483516483
72,30,52,1.0,1.0,1.0,1.0,0.8428571428571429,0.9597207303974221,0.8428571428571429,0.8921595655806183
73,30,73,1.0,1.0,1.0,1.0,0.9,0.9809523809523808,0.9,0.9371840606161164
74,30,94,1.0,1.0,1.0,1.0,0.9,0.9666666666666666,0.9,0.9302154195011338
75,30,115,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
76,30,136,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
77,30,157,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
78,30,178,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
79,30,200,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
80,40,10,0.9793103448275862,1.0,0.9776556776556777,0.9886331344131856,0.7857142857142857,0.984453781512605,0.7857142857142857,0.8606094772972199
81,40,31,1.0,1.0,1.0,1.0,0.8714285714285714,0.9507518796992481,0.8714285714285714,0.9043516483516483
82,40,52,1.0,1.0,1.0,1.0,0.8428571428571429,0.9597207303974221,0.8428571428571429,0.8921595655806183
83,40,73,1.0,1.0,1.0,1.0,0.9,0.9809523809523808,0.9,0.9371840606161164
84,40,94,1.0,1.0,1.0,1.0,0.9,0.9666666666666666,0.9,0.9302154195011338
85,40,115,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
86,40,136,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
87,40,157,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
88,40,178,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
89,40,200,1.0,1.0,1.0,1.0,0.9142857142857143,0.9685714285714285,0.9142857142857143,0.9398629148629148
